Date,Close_Price,Open_Price,High_Price,Low_Price
2020-07-16,255.5,254.25,256.95001220703125,254.25
2020-07-17,254.5,254.5,254.875,254.5
2020-07-18,254.5,254.5,254.89999389648438,254.5
2020-07-19,254.5,254.5,254.89999389648438,254.5
2020-07-20,254.5,254.5,254.89999389648438,254.5
2020-07-21,255.0,254.5,257.5,252.5500030517578
2020-07-22,255.0,255.0500030517578,255.25,255.0
2020-07-23,253.0,254.25,254.25,252.5
2020-07-24,254.27499389648438,252.52499389648438,256.3999938964844,252.52499389648438
2020-07-25,254.25,252.5,254.25,252.5
2020-07-26,254.25,252.5,254.25,252.5
2020-07-27,254.25,252.5,254.25,252.5
2020-07-28,254.75,253.25,254.75,253.25
2020-07-29,254.75,254.75,255.25,253.75
2020-07-30,253.5,253.5,254.5,253.5
2020-07-31,252.75,253.625,253.75,252.5
2020-08-01,254.375,252.75,255.0,252.5
2020-08-02,254.375,252.75,255.0,252.5
2020-08-03,254.375,252.75,255.0,252.5
2020-08-04,252.5,255.0,255.0,252.5
2020-08-05,253.0,252.5,253.75,252.5
2020-08-06,252.5,253.0,253.0,252.5
2020-08-07,251.25,253.75,253.75,251.25
2020-08-08,251.75,250.5,253.5,250.5
2020-08-09,251.75,250.5,253.5,250.5
2020-08-10,251.75,250.5,253.5,250.5
2020-08-11,251.25,250.625,253.75,250.625
2020-08-12,251.0,251.0,251.0,251.0
2020-08-13,253.75,251.875,253.75,250.0
2020-08-14,250.0,252.25,252.25,250.0
2020-08-15,249.0,250.0,250.27499389648438,248.75
2020-08-16,249.0,250.0,250.27499389648438,248.75
2020-08-17,249.0,250.0,250.27499389648438,248.75
2020-08-18,248.875,249.0,249.0,248.75
2020-08-19,249.5,249.5,249.5,249.5
2020-08-20,249.25,249.0,250.0,248.75
2020-08-21,249.97500610351562,249.75,249.97500610351562,249.75
2020-08-22,249.0,248.75,252.25,248.75
2020-08-23,249.0,248.75,252.25,248.75
2020-08-24,249.0,248.75,252.25,248.75
2020-08-25,250.75,250.25,250.75,248.75
2020-08-26,250.625,250.25,250.625,250.25
2020-08-27,249.0,248.75,252.5,248.75
2020-08-28,248.0,252.25,252.25,248.0
2020-08-29,248.25,248.0,248.25,248.0
2020-08-30,248.25,248.0,248.25,248.0
2020-08-31,248.25,248.0,248.25,248.0
2020-09-01,250.0,250.25,250.375,248.0
2020-09-02,249.97500610351562,249.875,249.97500610351562,249.875
2020-09-03,250.0,250.47500610351562,250.47500610351562,250.0
2020-09-04,250.0,249.75,250.0,249.75
2020-09-05,251.0,251.3249969482422,252.77499389648438,251.0
2020-09-06,251.0,251.3249969482422,252.77499389648438,251.0
2020-09-07,251.0,251.3249969482422,252.77499389648438,251.0
2020-09-08,251.0,251.3249969482422,252.77499389648438,251.0
2020-09-09,252.25,252.0,252.5,251.25
2020-09-10,251.25,251.25,251.25,249.39999389648438
2020-09-11,251.25,248.75,251.25,248.25
2020-09-12,252.5,252.85000610351562,252.85000610351562,251.25
2020-09-13,252.5,252.85000610351562,252.85000610351562,251.25
2020-09-14,252.5,252.85000610351562,252.85000610351562,251.25
2020-09-15,250.0,252.5,255.0,250.0
2020-09-16,251.25,248.375,259.25,248.375
2020-09-17,251.25,251.5,252.0,251.0
2020-09-18,252.5,251.5,253.5,251.5
2020-09-19,251.25,251.875,251.875,251.25
2020-09-20,251.25,251.875,251.875,251.25
2020-09-21,251.25,251.875,251.875,251.25
2020-09-22,252.5,252.5,252.5,252.5
2020-09-23,250.25,250.25,250.25,250.25
2020-09-24,250.0,250.0,250.0,248.25
2020-09-25,250.0,250.0,250.0,250.0
2020-09-26,252.5,252.375,252.5,252.375
2020-09-27,252.5,252.375,252.5,252.375
2020-09-28,252.5,252.375,252.5,252.375
2020-09-29,250.75,253.72500610351562,253.72500610351562,250.75
2020-09-30,250.75,250.75,250.75,249.5
2020-10-01,252.0,251.625,253.75,250.75
2020-10-02,252.5,252.5,252.5,251.25
2020-10-03,252.5,252.5,252.5,252.5
2020-10-04,252.5,252.5,252.5,252.5
2020-10-05,252.5,252.5,252.5,252.5
2020-10-06,250.0,250.0,251.875,250.0
2020-10-07,250.9250030517578,251.9250030517578,251.9250030517578,250.0
2020-10-08,250.0,250.0,250.75,249.75
2020-10-09,249.5,250.0,250.375,249.5
2020-10-10,250.25,251.0,251.0,249.5
2020-10-11,250.25,251.0,251.0,249.5
2020-10-12,250.25,251.0,251.0,249.5
2020-10-13,250.25,250.25,250.25,250.25
2020-10-14,250.0,251.25,251.25,249.75
2020-10-15,249.5,249.75,249.75,249.5
2020-10-16,249.75,249.75,249.75,249.75
2020-10-17,249.5,249.5,249.5,249.5
2020-10-18,249.5,249.5,249.5,249.5
2020-10-19,249.5,249.5,249.5,249.5
2020-10-20,249.25,249.5,249.5,249.25
2020-10-21,250.0,249.25,250.0,249.25
2020-10-22,249.0,249.25,249.25,249.0
2020-10-23,250.25,250.0,250.25,250.0
2020-10-24,248.25,248.75,250.0,248.25
2020-10-25,248.25,248.75,250.0,248.25
2020-10-26,248.25,248.75,250.0,248.25
2020-10-27,250.0,250.0,250.0,250.0
2020-10-28,247.25,248.0,248.5,247.25
2020-10-29,247.0,248.75,248.75,247.0
2020-10-30,247.875,247.52499389648438,248.75,247.0
2020-10-31,247.0,247.52499389648438,248.75,247.0
2020-11-01,247.0,247.52499389648438,248.75,247.0
2020-11-02,247.0,247.52499389648438,248.75,247.0
2020-11-03,248.75,247.22500610351562,248.75,247.22500610351562
2020-11-04,248.5,248.5,248.5,248.5
2020-11-05,250.25,247.5,250.4499969482422,247.5
2020-11-06,250.0,247.25,250.0,247.0
2020-11-07,248.75,249.75,249.75,248.75
2020-11-08,248.75,249.75,249.75,248.75
2020-11-09,248.75,249.75,249.75,248.75
2020-11-10,249.75,249.5500030517578,249.75,249.0
2020-11-11,248.75,250.75,250.75,247.5749969482422
2020-11-12,250.0,249.75,250.0,248.75
2020-11-13,250.0,248.5,250.0,248.5
2020-11-14,250.0,248.75,250.0,248.3000030517578
2020-11-15,250.0,248.75,250.0,248.3000030517578
2020-11-16,250.0,248.75,250.0,248.3000030517578
2020-11-17,250.0,250.0,250.0,248.3000030517578
2020-11-18,250.0,249.25,250.0,249.25
2020-11-19,250.0,249.75,250.5,248.75
2020-11-20,252.25,251.25,252.25,251.25
2020-11-21,251.0,252.14999389648438,252.5,250.5
2020-11-22,251.0,252.14999389648438,252.5,250.5
2020-11-23,251.0,252.14999389648438,252.5,250.5
2020-11-24,252.0,252.25,252.5,251.60000610351562
2020-11-25,251.25,249.0,251.875,249.0
2020-11-26,252.5,252.25,252.5,249.5
2020-11-27,252.5,252.25,252.5,249.5
2020-11-28,251.1750030517578,252.125,252.22500610351562,251.0749969482422
2020-11-29,251.1750030517578,252.125,252.22500610351562,251.0749969482422
2020-11-30,251.1750030517578,252.125,252.22500610351562,251.0749969482422
2020-12-01,251.5,251.25,252.5,251.25
2020-12-02,251.0,251.75,252.5,251.0
2020-12-03,251.5,251.5,252.5,251.5
2020-12-04,252.5,251.75,252.5,251.75
2020-12-05,253.97500610351562,252.5,255.75,250.5
2020-12-06,253.97500610351562,252.5,255.75,250.5
2020-12-07,253.97500610351562,252.5,255.75,250.5
2020-12-08,254.5,254.97500610351562,254.97500610351562,252.5
2020-12-09,254.8249969482422,254.5,255.0,254.5
2020-12-10,256.5,256.5,257.5,255.0
2020-12-11,256.25,256.25,257.25,256.0
2020-12-12,255.25,256.0,257.25,253.75
2020-12-13,255.25,256.0,257.25,253.75
2020-12-14,255.25,256.0,257.25,253.75
2020-12-15,255.0,255.0,257.125,255.0
2020-12-16,258.75,256.0,260.0,255.0
2020-12-17,262.5,257.0,263.5,257.0
2020-12-18,356.25,325.0,375.0,312.5
2020-12-19,338.25,360.0,372.25,330.5
2020-12-20,338.25,360.0,372.25,330.5
2020-12-21,338.25,360.0,372.25,330.5
2020-12-22,319.25,343.5,344.25,315.25
2020-12-23,336.25,327.5,343.0,325.0
2020-12-24,348.75,346.75,350.0,326.75
2020-12-25,344.0,356.17498779296875,356.25,341.0
2020-12-26,344.0,356.17498779296875,356.25,341.0
2020-12-27,344.0,356.17498779296875,356.25,341.0
2020-12-28,344.0,356.17498779296875,356.25,341.0
2020-12-29,330.25,343.25,346.25,321.25
2020-12-30,335.0,332.5,337.5,325.0
2020-12-31,312.5,332.75,332.75,308.25
2021-01-01,323.75,317.5,329.0,301.5
2021-01-02,323.75,317.5,329.0,301.5
2021-01-03,323.75,317.5,329.0,301.5
2021-01-04,323.75,317.5,329.0,301.5
2021-01-05,347.5,322.25,354.8999938964844,312.75
2021-01-06,351.5,340.5,377.75,340.0
2021-01-07,368.75,353.5,392.0,353.45001220703125
2021-01-08,365.5,372.5,377.75,360.0
2021-01-09,379.25,364.75,385.75,363.0
2021-01-10,379.25,364.75,385.75,363.0
2021-01-11,379.25,364.75,385.75,363.0
2021-01-12,392.25,386.25,403.5,381.0
2021-01-13,463.5,405.0,491.32501220703125,402.5
2021-01-14,459.0,445.0,487.5,425.25
2021-01-15,446.25,459.25,463.5,432.5
