Date,Close_Price,Open_Price,High_Price,Low_Price
2023-07-10,14.679736137390137,14.714896308587486,14.732477232490751,14.609414118386258
2023-07-11,14.85554027557373,14.77642779499644,14.89070212321216,14.698195534236534
2023-07-12,15.075297355651855,14.978605624258844,15.119249666838897,14.961024699784026
2023-07-13,15.154409408569336,15.19836171850748,15.251102813824062,15.110458775240385
2023-07-14,14.85554027557373,15.004974774818704,15.004974774818704,14.81158964263487
2023-07-15,14.7500581741333,14.768517641271176,14.811589731259549,14.723686788246686
2023-07-16,14.7500581741333,14.768517641271176,14.811589731259549,14.723686788246686
2023-07-17,14.7500581741333,14.768517641271176,14.811589731259549,14.723686788246686
2023-07-18,14.934653282165527,14.811590164314962,14.943443744384744,14.795768002964065
2023-07-19,14.815983772277832,14.864330473617853,14.899492320632104,14.785217994444935
2023-07-20,14.60062313079834,14.794886800125443,14.83795888851138,14.591832669163173
2023-07-21,14.574252128601074,14.626993223187897,14.670945532517889,14.521511034014251
2023-07-22,14.641937255859375,14.530301907875119,14.67973641061585,14.530301907875119
2023-07-23,14.641937255859375,14.530301907875119,14.67973641061585,14.530301907875119
2023-07-24,14.641937255859375,14.530301907875119,14.67973641061585,14.530301907875119
2023-07-25,14.688525199890137,14.679736414381852,14.714896586242636,14.574252545581068
2023-07-26,14.618202209472656,14.363285531418688,14.670944978677564,14.354495069884535
2023-07-27,14.090788841247559,14.248133586036417,14.28417397767367,14.064417454940228
2023-07-28,14.081997871398926,14.152319889073699,14.178689597821018,14.064416947827944
2023-07-29,14.055625915527344,14.064416376956032,14.152319314633825,14.020464908117136
2023-07-30,14.055625915527344,14.064416376956032,14.152319314633825,14.020464908117136
2023-07-31,14.055625915527344,14.064416376956032,14.152319314633825,14.020464908117136
2023-08-01,13.976513862609863,14.03892479935663,14.099578649729889,13.958933777524551
2023-08-02,13.774337768554688,13.827078860181965,13.835869321554691,13.668854746995594
2023-08-03,13.638090133666992,13.607323516238418,13.686435998731252,13.545791957990483
2023-08-04,13.545791625976562,13.695226125177069,13.712807048991051,13.53700116406957
2023-08-05,13.554582595825195,13.572162681993383,13.607323692634377,13.484260574543205
2023-08-06,13.554582595825195,13.572162681993383,13.607323692634377,13.484260574543205
2023-08-07,13.554582595825195,13.572162681993383,13.607323692634377,13.484260574543205
2023-08-08,13.325156211853027,13.185390721470737,13.343615678385847,13.141439251404922
2023-08-09,13.282083511352539,13.361195991158493,13.405147461973419,13.211761493370489
2023-08-10,13.273294448852539,13.413938490761213,13.501840597801825,13.229342976179925
2023-08-11,13.229342460632324,13.273293931592148,13.352405573354334,13.071117500498787
2023-08-12,13.07990837097168,13.097488456922067,13.106278919049565,13.062327446716683
2023-08-13,13.07990837097168,13.097488456922067,13.106278919049565,13.062327446716683
2023-08-14,13.07990837097168,13.097488456922067,13.106278919049565,13.062327446716683
2023-08-15,12.961238861083984,13.097487662578477,13.132648670651397,12.93047308380825
2023-08-16,12.772248268127441,12.956843772106911,13.00958570394586,12.754668183050837
2023-08-17,12.71071720123291,12.895312712304317,12.939264184141242,12.701926739204605
2023-08-18,12.759063720703125,12.649185461842347,12.81620004645671,12.614024452539082
2023-08-19,12.763458251953125,12.781038336488713,12.824989805284494,12.701925860317216
2023-08-20,12.763458251953125,12.781038336488713,12.824989805284494,12.701925860317216
2023-08-21,12.763458251953125,12.781038336488713,12.824989805284494,12.701925860317216
2023-08-22,12.877731323242188,12.930473255202944,12.94805334032015,12.824990229586
2023-08-23,12.90410327911377,12.877731892814719,12.948053913002974,12.851361344820276
2023-08-24,12.657975196838379,12.842570706881233,12.851361168860556,12.631604649204998
2023-08-25,12.609628677368164,12.587652523561728,12.640394454392625,12.482169500204481
2023-08-26,12.464590072631836,12.43821868667374,12.508540705952809,12.403057677034203
2023-08-27,12.464590072631836,12.43821868667374,12.508540705952809,12.403057677034203
2023-08-28,12.464590072631836,12.43821868667374,12.508540705952809,12.403057677034203
2023-08-29,12.596443176269531,12.403057211360482,12.614024099581519,12.385477126353056
2023-08-30,12.649186134338379,12.693136769575663,12.737088243117578,12.570073649623856
