Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,VUAA.L,VUAA.L,VUAA.L,VUAA.L,VUAA.L,VUAA.L,
2020-01-02,57.76499938964844,57.76499938964844,57.970001220703125,57.81999969482422,57.91999816894531,32050,VUAA.L
2020-01-03,57.650001525878906,57.650001525878906,57.73099899291992,57.47999954223633,57.47999954223633,6062,VUAA.L
2020-01-06,57.630001068115234,57.630001068115234,57.75,57.220001220703125,57.75,5014,VUAA.L
2020-01-07,57.83000183105469,57.83000183105469,57.86000061035156,57.65599822998047,57.75,9681,VUAA.L
2020-01-08,57.93000030517578,57.93000030517578,57.880001068115234,57.63999938964844,57.70000076293945,13285,VUAA.L
2020-01-09,58.31999969482422,58.31999969482422,58.689998626708984,58.27000045776367,58.689998626708984,3619,VUAA.L
2020-01-10,58.43000030517578,58.43000030517578,58.599998474121094,58.52000045776367,58.59000015258789,2940,VUAA.L
2020-01-13,58.459999084472656,58.459999084472656,58.599998474121094,58.31999969482422,58.470001220703125,10513,VUAA.L
2020-01-14,58.595001220703125,58.595001220703125,58.65999984741211,58.4900016784668,58.5,5212,VUAA.L
2020-01-15,58.7599983215332,58.7599983215332,58.79999923706055,58.58000183105469,58.70000076293945,10412,VUAA.L
2020-01-16,58.95000076293945,58.95000076293945,58.970001220703125,58.95000076293945,58.95000076293945,4195,VUAA.L
2020-01-17,59.22999954223633,59.22999954223633,59.34000015258789,59.258201599121094,59.290000915527344,4160,VUAA.L
2020-01-20,59.27000045776367,59.27000045776367,59.36000061035156,59.22999954223633,59.36000061035156,4291,VUAA.L
2020-01-21,59.31999969482422,59.31999969482422,59.470001220703125,59.08000183105469,59.470001220703125,4360,VUAA.L
2020-01-22,59.35499954223633,59.35499954223633,59.84000015258789,59.400001525878906,59.84000015258789,13297,VUAA.L
2020-01-23,58.939998626708984,58.939998626708984,59.58000183105469,59.0,59.58000183105469,4619,VUAA.L
2020-01-24,59.150001525878906,59.150001525878906,59.5099983215332,59.150001525878906,59.5099983215332,7593,VUAA.L
2020-01-27,57.89500045776367,57.89500045776367,58.529998779296875,57.900001525878906,58.529998779296875,19498,VUAA.L
2020-01-28,58.470001220703125,58.470001220703125,58.540000915527344,57.97999954223633,58.540000915527344,3147,VUAA.L
