threshold;sel_n;sel_hit_rate;sel_median_car;sel_avg_car;sel_std_car;sel_min_car;sel_q1_car;sel_q3_car;sel_max_car;sel_pctile_zero;sel_avg_size_usd;rest_n;rest_hit_rate;rest_median_car;rest_avg_car;rest_std_car;rest_min_car;rest_q1_car;rest_q3_car;rest_max_car;rest_pctile_zero;rest_avg_size_usd
0,5;1346;45,91;-1,495;-3,491;23,366;-193,367;-13,752;8,163;84,959;54,09;9891;1460;43,36;-2,526;-4,057;23,588;-132,465;-14,805;7,744;120,258;56,64;6267
0,51;1312;45,96;-1,473;-3,516;23,57;-193,367;-13,739;8,235;84,959;54,04;10049;1494;43,37;-2,526;-4,022;23,405;-132,465;-14,776;7,723;120,258;56,63;6210
0,52;1267;46,41;-1,33;-3,489;23,626;-193,367;-13,745;8,309;84,959;53,59;10208;1539;43,08;-2,557;-4,03;23,363;-132,465;-14,761;7,64;120,258;56,92;6192
0,53;1232;46,59;-1,322;-3,512;23,814;-193,367;-13,688;8,054;84,959;53,41;10358;1574;43,01;-2,58;-4;23,219;-132,465;-14,835;7,753;120,258;56,99;6164
0,54;1190;46,64;-1,216;-3,332;23,655;-193,367;-13,552;8,319;84,959;53,36;10604;1616;43,07;-2,61;-4,12;23,35;-132,465;-14,959;7,624;120,258;56,93;6092
0,55;1140;46,4;-1,322;-3,457;23,755;-193,367;-13,581;7,915;84,959;53,6;10553;1666;43,34;-2,563;-4,01;23,293;-132,465;-14,898;7,772;120,258;56,66;6262
0,56;1081;46,35;-1,318;-3,529;23,841;-193,367;-13,398;7,886;84,959;53,65;10466;1725;43,48;-2,545;-3,947;23,255;-132,465;-14,914;7,777;120,258;56,52;6464
0,57;1033;46,37;-1,318;-3,575;24,072;-193,367;-13,464;7,869;84,959;53,63;10737;1773;43,54;-2,454;-3,908;23,133;-132,465;-14,851;7,809;120,258;56,46;6414
0,58;982;46,33;-1,216;-3,426;24,003;-193,367;-13,389;7,972;84,959;53,67;10954;1824;43,64;-2,497;-3,979;23,197;-132,465;-14,851;7,785;120,258;56,36;6418
0,59;944;46,72;-0,967;-3,374;24,069;-193,367;-13,377;8,235;84,959;53,28;11230;1862;43,5;-2,526;-3,994;23,178;-132,465;-14,835;7,753;120,258;56,5;6370
0,6;887;47,46;-0,727;-3,181;24,225;-193,367;-13,033;8,326;84,959;52,54;11619;1919;43,25;-2,557;-4,065;23,127;-132,465;-14,851;7,707;120,258;56,75;6335
0,61;845;47,57;-0,684;-3,314;24,523;-193,367;-13,092;8,217;84,959;52,43;11745;1961;43,29;-2,507;-3,989;23,018;-132,465;-14,79;7,757;120,258;56,71;6394
0,62;804;47,01;-0,816;-3,426;24,554;-193,367;-13,162;7,344;84,959;52,99;11833;2002;43,61;-2,407;-3,93;23,038;-132,465;-14,701;7,888;120,258;56,39;6468
0,63;757;47,29;-0,798;-3,619;24,776;-193,367;-13,092;7,437;83,81;52,71;12233;2049;43,58;-2,331;-3,847;22,987;-132,465;-14,585;7,886;120,258;56,42;6443
0,64;720;48,61;-0,315;-3,058;24,525;-193,367;-12,184;8,334;83,81;51,39;12592;2086;43,19;-2,548;-4,037;23,108;-144,833;-14,898;7,753;120,258;56,81;6422
0,65;683;48,02;-0,524;-2,961;23,741;-138,633;-12,23;8,617;83,81;51,98;12822;2123;43,48;-2,454;-4,051;23,394;-193,367;-14,851;7,748;120,258;56,52;6456
0,66;656;48,63;-0,315;-2,971;23,969;-138,633;-12,24;8,817;83,81;51,37;13178;2150;43,35;-2,471;-4,034;23,328;-193,367;-14,759;7,753;120,258;56,65;6427
0,67;606;48,18;-0,374;-3,168;23,695;-138,633;-12,23;7,799;83,81;51,82;13908;2200;43,59;-2,347;-3,956;23,422;-193,367;-14,544;7,816;120,258;56,41;6379
0,68;563;48,13;-0,357;-3,323;24,096;-138,633;-12,92;7,261;83,81;51,87;14425;2243;43,69;-2,269;-3,902;23,326;-193,367;-14,405;7,862;120,258;56,31;6394
