Date;CEUG.DE;DE000A2T0VU;NASD.L;VUAA.L;VUSA.L;XDEF.DE
2015-01-01;;;14,64050006866455;;21,603172302246094;
2015-02-01;;;15,783499717712402;;22,138996124267578;
2015-03-01;;;16,092199325561523;;22,657812118530273;
2015-04-01;;;15,708700180053711;;22,20855712890625;
2015-05-01;;;16,415800094604492;;22,447736740112305;
2015-06-01;;;15,756199836730957;;21,303138732910156;
2015-07-01;;;16,38089942932129;;22,046560287475586;
2015-08-01;;;15,06350040435791;;21,188718795776367;
2015-09-01;;;14,791600227355957;;20,605390548706055;
2015-10-01;;;16,621400833129883;;22,150121688842773;
2015-11-01;;;17,465999603271484;;22,753440856933594;
2015-12-01;;;16,72410011291504;;22,74481964111328;
2016-01-01;;;15,644599914550781;;22,23518943786621;
2016-02-01;;;15,317899703979492;;23,170316696166992;
2016-03-01;;;15,589300155639648;;23,585922241210938;
2016-04-01;;;15,02180004119873;;23,240245819091797;
2016-05-01;;;16,129600524902344;;23,88410758972168;
2016-06-01;;;15,787199974060059;;25,946237564086914;
2016-07-01;;;16,588699340820312;;27,202421188354492;
2016-08-01;;;16,82349967956543;;27,51700210571289;
2016-09-01;;;17,043100357055664;;27,65682029724121;
2016-10-01;;;17,210100173950195;;29,121055603027344;
2016-11-01;;;17,848400115966797;;29,577573776245117;
2016-12-01;;;18,153499603271484;;30,552082061767578;
2017-01-01;;;18,64459991455078;;30,271142959594727;
2017-02-01;;;19,779199600219727;;31,99941062927246;
2017-03-01;;;20,0492000579834;;31,664342880249023;
2017-04-01;;;20,23189926147461;;31,031946182250977;
2017-05-01;;;20,337200164794922;;31,474878311157227;
2017-06-01;;;19,566600799560547;;31,36858367919922;
2017-07-01;;;19,557100296020508;;31,695951461791992;
2017-08-01;;;19,776599884033203;;32,452110290527344;
2017-09-01;;;19,862699508666992;;31,68704605102539;
2017-10-01;;;21,070600509643555;;32,93359375;
2017-11-01;;;20,99850082397461;;33,27293395996094;
2017-12-01;;;20,95490074157715;;33,82658767700195;
2018-01-01;;;21,9512996673584;;33,883766174316406;
2018-02-01;;;22,135900497436523;;33,91065979003906;
2018-03-01;208,10000610351562;;21,083200454711914;;31,929101943969727;
2018-04-01;217,4499969482422;;21,54450035095215;;33,236061096191406;
2018-05-01;217,85000610351562;;23,55030059814453;;35,018489837646484;
2018-06-01;216,60000610351562;;23,797500610351562;;35,459598541259766;
2018-07-01;223,35000610351562;;24,246599197387695;;36,86113739013672;
2018-08-01;218,1999969482422;;25,833099365234375;;38,397396087646484;
2018-09-01;219,39999389648438;;25,795700073242188;;38,352203369140625;
2018-10-01;207,5500030517578;;24,158599853515625;;36,67405700683594;
2018-11-01;205,9499969482422;;24,141700744628906;;36,99162673950195;
2018-12-01;193,5800018310547;;21,7893009185791;;33,770626068115234;
2019-01-01;206,5500030517578;;27,15999984741211;;35,56306838989258;
2019-02-01;215,10000610351562;;27,99250030517578;;36,414268493652344;
2019-03-01;219,6999969482422;;29,002500534057617;;37,52530288696289;
2019-04-01;228,10000610351562;;30,487499237060547;;39,09751892089844;
2019-05-01;217,10000610351562;;28,337499618530273;50,47999954223633;38,203575134277344;
2019-06-01;226,60000610351562;;30,232500076293945;51,83000183105469;40,08416748046875;
2019-07-01;227,1999969482422;;31,2450008392334;53,404998779296875;43,05110168457031;
2019-08-01;224,14999389648438;;30,042499542236328;51,71500015258789;41,85591506958008;
2019-09-01;232,25;;30,36750030517578;52,875;42,23631286621094;
2019-10-01;234,75;;31,677499771118164;53,81999969482422;41,050987243652344;
2019-11-01;241,10000610351562;;33,099998474121094;56,0099983215332;42,72066879272461;
2019-12-01;247,1999969482422;;34,24250030517578;57,40999984741211;42,78297805786133;
2020-01-01;242,6999969482422;;35,47249984741211;57,75;43,1724967956543;
2020-02-01;222,6999969482422;;32,807498931884766;51,98500061035156;40,21420669555664;
2020-03-01;190,1999969482422;;31,424999237060547;47,275001525878906;37,257080078125;
2020-04-01;201,9499969482422;;35,380001068115234;52,2400016784668;40,86896896362305;
2020-05-01;207,75;;37,11750030517578;54,099998474121094;43,237953186035156;
2020-06-01;214,3000030517578;;39,76750183105469;55,279998779296875;43,9321174621582;
2020-07-01;211,10000610351562;;42,6875;58,33000183105469;43,77374267578125;
2020-08-01;217,60000610351562;;47,36000061035156;62,95000076293945;46,50800323486328;
2020-09-01;214,5500030517578;;45,33250045776367;60,880001068115234;46,301170349121094;
2020-10-01;203,8000030517578;;43,834999084472656;58,95000076293945;44,88383102416992;
2020-11-01;232,1999969482422;;48,029998779296875;65,05999755859375;48,04440689086914;
2020-12-01;239,14999389648438;;50,84000015258789;67,55000305175781;48,64389419555664;
2021-01-01;235,6999969482422;;51,400001525878906;67,5999984741211;48,601890563964844;
2021-02-01;242,25;;51,154998779296875;69,34500122070312;49,225563049316406;
2021-03-01;257,8500061035156;;51,90999984741211;72,27999877929688;51,54845428466797;
2021-04-01;263,1000061035156;;54,904998779296875;75,96499633789062;54,237159729003906;
2021-05-01;269,95001220703125;;54,380001068115234;76,63999938964844;53,25733184814453;
2021-06-01;274,3999938964844;;57,68000030517578;78,18000030517578;55,65375900268555;
2021-07-01;279,70001220703125;;59,255001068115234;80,16999816894531;56,83022689819336;
2021-08-01;285,25;;61,71500015258789;82,63999938964844;59,22636032104492;
2021-09-01;276,54998779296875;;58,86000061035156;79,4000015258789;57,902809143066406;
2021-10-01;289,3999938964844;;62,52000045776367;83,98999786376953;60,46820068359375;
2021-11-01;282,29998779296875;;64,20999908447266;83,93000030517578;62,5201416015625;
2021-12-01;299,20001220703125;;65,19999694824219;87,37000274658203;63,73611068725586;
2022-01-01;288,6499938964844;;58,5099983215332;81,83999633789062;60,08611297607422;
2022-02-01;279,3999938964844;;56,7400016784668;80,41000366210938;59,04545974731445;
2022-03-01;281,79998779296875;;59,775001525878906;84,31999969482422;63,0699348449707;
2022-04-01;280,20001220703125;;52,494998931884766;77,66999816894531;60,98579406738281;
2022-05-01;276,1499938964844;;50,10499954223633;75,80999755859375;59,332759857177734;
2022-06-01;254,8000030517578;;45,98500061035156;69,73999786376953;56,39573669433594;
2022-07-01;275,95001220703125;;50,915000915527344;75,5;61,188411712646484;
2022-08-01;260,45001220703125;;49,11249923706055;73,5199966430664;62,310306549072266;
2022-09-01;241,35000610351562;;44,98249816894531;67,80000305175781;59,723724365234375;
2022-10-01;254,10000610351562;;45,647499084472656;71,68000030517578;61,50246810913086;
2022-11-01;273,95001220703125;;45,98249816894531;73,3499984741211;60,54499435424805;
2022-12-01;264,6000061035156;;43,4275016784668;71,08999633789062;57,94199752807617;
2023-01-01;282,1499938964844;;48,0724983215332;75,12000274658203;60,123260498046875;
2023-02-01;285,3999938964844;;48,30500030517578;74,06999969482422;60,25361633300781;
2023-03-01;286,54998779296875;;52,310001373291016;76,05000305175781;60,34053039550781;
2023-04-01;292,79998779296875;;52,60499954223633;77,33000183105469;60,626121520996094;
2023-05-01;286,79998779296875;;57,029998779296875;77,79000091552734;61,876590728759766;
2023-06-01;293,1000061035156;;60,78499984741211;82,9800033569336;64,1303482055664;
2023-07-01;297,8999938964844;;63,13999938964844;85,70999908447266;65,73248291015625;
2023-08-01;290,6000061035156;;62,29999923706055;84,66000366210938;65,91727447509766;
2023-09-01;285,20001220703125;;59,43000030517578;80,8499984741211;65,11247253417969;
2023-10-01;275,0;;57,5;78,29000091552734;63,61430740356445;
2023-11-01;293,29998779296875;;63,68000030517578;85,43000030517578;66,62659454345703;
2023-12-01;305,3500061035156;;67,91999816894531;90,05999755859375;69,44498443603516;
2024-01-01;310,75;;69,33000183105469;91,94000244140625;71,29662322998047;
